"","site","site_code","date","sampling_cluster","sampling_cluster_median_date","sampling_group_month","sampling_group_year","accession_update","sample_id","ct_hev","Nml_hev","preservative","bff_present_update","nbff_over_sheet","nnonbff_over_sheet"
"145","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","43",0,NA,"VTM","bff_present",1,0
"146","Burleigh","BUR","2020-04-30",39,2020-04-28,"Apr","2020","ARBUR021","47",0,NA,"VTM","bff_present",1,0
"147","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","2",0,NA,"VTM","bff_present",1,0
"148","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","3",0,NA,"VTM","bff_present",1,0
"149","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","6",0,NA,"VTM","bff_present",1,0
"150","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","7",0,NA,"VTM","bff_present",2,0
"151","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","8",0,NA,"VTM","bff_present",1,0
"152","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","10",0,NA,"VTM","bff_present",1,1
"153","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","11",0,NA,"VTM","bff_present",1,0
"154","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","13",0,NA,"VTM","bff_present",1,0
"155","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","16",0,NA,"VTM","bff_present",2,0
"156","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","17",0,NA,"VTM","bff_present",2,0
"157","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","18",0,NA,"VTM","bff_present",3,0
"158","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","19",0,NA,"VTM","bff_present",1,0
"159","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","20",0,NA,"VTM","bff_present",1,0
"160","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","21",0,NA,"VTM","bff_present",1,0
"161","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","22",0,NA,"VTM","bff_present",1,0
"162","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","23",0,NA,"VTM","bff_present",1,0
"163","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","24",0,NA,"VTM","bff_present",1,0
"164","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","26",0,NA,"VTM","bff_present",2,0
"165","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","27",0,NA,"VTM","bff_present",1,0
"166","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","29",0,NA,"VTM","bff_present",3,0
"167","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","31",0,NA,"VTM","bff_present",2,0
"168","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","32",0,NA,"VTM","bff_present",6,0
"169","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","33",0,NA,"VTM","bff_present",3,1
"170","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","34",37,377.0417746,"VTM","bff_present",1,0
"171","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","35",0,NA,"VTM","bff_not_present",0,2
"172","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","36",0,NA,"VTM","bff_not_present",0,4
"173","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","37",0,NA,"VTM","bff_not_present",0,0
"174","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","39",0,NA,"VTM","bff_present",2,0
"175","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","40",0,NA,"VTM","bff_not_present",0,0
"176","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","41",0,NA,"VTM","bff_present",1,0
"177","Burleigh","BUR","2020-05-29",40,2020-05-26,"May","2020","ARBUR022","44",0,NA,"VTM","bff_present",1,0
"178","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","3",0,NA,"VTM","bff_not_present",0,0
"179","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","8",0,NA,"VTM","bff_present",1,0
"180","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","9",0,NA,"VTM","bff_present",1,0
"181","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","10",0,NA,"VTM","bff_present",1,0
"182","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","12",0,NA,"VTM","bff_present",2,0
"183","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","13",0,NA,"VTM","bff_present",1,0
"184","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","14",0,NA,"VTM","bff_present",1,0
"185","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","15",0,NA,"VTM","bff_not_present",0,0
"186","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","23",0,NA,"VTM","bff_not_present",0,0
"187","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","24",38,203.3243866,"VTM","bff_present",2,2
"188","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","25",0,NA,"VTM","bff_not_present",0,0
"189","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","27",0,NA,"VTM","bff_present",1,2
"190","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","28",0,NA,"VTM","bff_not_present",0,3
"191","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","30",34,2404.304509,"VTM","bff_present",1,0
"192","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","31",0,NA,"VTM","bff_present",1,2
"193","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","32",0,NA,"VTM","bff_present",2,1
"194","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","33",0,NA,"VTM","bff_present",3,0
"195","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","34",0,NA,"VTM","bff_present",1,0
"196","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","36",0,NA,"VTM","bff_present",1,2
"197","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","37",0,NA,"VTM","bff_not_present",0,2
"198","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","38",0,NA,"VTM","bff_present",1,0
"199","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","41",0,NA,"VTM","bff_present",2,0
"200","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","45",0,NA,"VTM","bff_present",1,0
"201","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","46",0,NA,"VTM","bff_present",1,0
"202","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","48",0,NA,"VTM","bff_present",2,0
"203","Burleigh","BUR","2020-06-29",41,2020-06-25,"Jun","2020","ARBUR023","50",0,NA,"VTM","bff_not_present",0,0
"204","Burleigh","BUR","2020-07-21",42,2020-07-20,"Jul","2020","ARBUR024","7",0,NA,"VTM","bff_present",1,0
"205","Burleigh","BUR","2020-07-21",42,2020-07-20,"Jul","2020","ARBUR024","8",0,NA,"VTM","bff_present",2,0
"206","Burleigh","BUR","2020-07-21",42,2020-07-20,"Jul","2020","ARBUR024","10",0,NA,"VTM","bff_present",3,0
